code,text,categor_code
U_PD_I001,Error creating user in PeopleDoc,
U_WD_H001,Error getting data from Workday,
W_RT_H001,All workers in the process are wrong,
U_RT_H001,All process users are wrong,
W_CG_H001,Scenario configuration not found,
W_WD_H001,Workday - Error getting data from Web Service Workers,
W_ML_I001,Mapping - Employee mapping error,
W_PD_H001,PeopleDoc - Error getting the Token,
W_PD_I001,PeopleDoc - Error creating or updating Employee,
U_CG_H001,Scenario configuration not found,
U_WD_I001,Workday - Error getting data from Web Service Workers,
U_ML_I001,Mapping - User mapping error,
U_PD_H001,PeopleDoc - Error getting the Token,
W_WD_I002,Workday - Error getting the Organization data to perform the Organization filters,
U_PD_I002,PeopleDoc - Error updating User,
O_RT_H001,All the organizations in the process are wrong,
O_CG_H001,Scenario configuration not found,
O_WD_H001,Workday - Error getting data from Web Service Organizations,
O_WD_H002,Workday - Failed to verify Organization membership,
O_WD_I001,Workday - Error getting data from Web Service Workers,
O_WD_I002,Workday - Error getting data from Web Service Company,
O_WD_I003,Workday - Error getting data from Web Service Location,
O_ML_I001,Mapping - Mapping error of Worker assigned to Workday organization,
O_ML_I002,Mapping - Company mapping error,
O_ML_I003,Mapping - Organization mapping error,
O_ML_I004,Mapping - Location mapping error,
O_PD_H001,PeopleDoc - Error getting the Token,
O_PD_I001,PeopleDoc - Error creating or updating Organization,
W_WD_I001,Workday - Error getting data form Find_Organization Web Services,
